จันทบุรี,339292,0.35,190728,1778.93
ชุมพร,212764,0.22,157837,1348.00
ระยอง,108093,0.11,64469,1676.67
ตราด,48158,0.05,26133,1842.80
สุราษฎร์ธานี,47550,0.05,39039,1218.01
นครศรีธรรมราช,45632,0.05,44958,1014.99
ยะลา,39615,0.04,48018,825.00
อุตรดิตถ์,31086,0.03,35405,878.01
ระนอง,26522,0.03,30948,856.99
นราธิวาส,16968,0.02,25709,660.00
สงขลา,11462,0.01,14382,796.97
สุโขทัย,4766,0.01,6142,775.97
ศรีสะเกษ,4108,0.00,2953,1391.13
ปัตตานี,4031,0.00,7059,571.04
พังงา,3986,0.00,6161,646.97
ประจวบคีรีขันธ์,2862,0.00,4383,652.98
พัทลุง,2018,0.00,3346,603.11
ปราจีนบุรี,1274,0.00,1577,807.86
ตรัง,1198,0.00,2080,575.96
ภูเก็ต,912,0.00,2258,403.90
กระบี่,904,0.00,2194,412.03
สตูล,773,0.00,1249,618.90
กาญจนบุรี,522,0.00,1095,476.71
พิษณุโลก,452,0.00,864,523.15
นครนายก,424,0.00,454,933.92
เพชรบุรี,396,0.00,656,603.66
แพร่,297,0.00,673,441.31
นครราชสีมา,188,0.00,499,376.75
อุบลราชธานี,185,0.00,270,685.19
ชลบุรี,156,0.00,216,722.22
นนทบุรี,8,0.00,114,70.18
กาฬสินธุ์,3,0.00,3,1000.00
